sess,Type,lr,bsize,DS,lossFunc,emb_dim,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.06027543172240257,12.418702125549316,97.02581787109375,47.33438491821289
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.048459697514772415,13.19381046295166,62.324485778808594,51.72270202636719
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.061400871723890305,16.64748191833496,75.31423950195312,59.691917419433594
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.05866267532110214,15.887709617614746,69.33897399902344,51.08427810668945
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.05762570723891258,15.238821029663086,57.01375961303711,47.26502227783203
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.05944793298840523,14.90962028503418,69.52561950683594,53.163963317871094
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.05852770805358887,14.90909194946289,77.203125,52.22117614746094
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.0547059029340744,13.857431411743164,72.8125228881836,49.88204574584961
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.05552682280540466,14.095704078674316,74.55988311767578,52.70381546020508
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.057035405188798904,14.620420455932617,76.50151062011719,53.314449310302734
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.06173848733305931,13.37690544128418,92.41572570800781,50.56719970703125
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.04957306757569313,13.293447494506836,72.40188598632812,49.3045768737793
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.06204631179571152,16.781089782714844,75.12596893310547,61.23700714111328
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.0587056428194046,15.561066627502441,71.8341293334961,52.01530456542969
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.05552743375301361,15.224414825439453,56.794578552246094,45.516258239746094
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.05872581526637077,14.916948318481445,67.44305419921875,52.4691162109375
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.05925258621573448,14.947352409362793,78.19122314453125,53.249671936035156
