sess,Type,lr,bsize,DS,lossFunc,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.06030932813882828,13.009190559387207,93.937744140625,47.672977447509766
test,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.04791197553277016,13.315423011779785,61.143619537353516,50.63780975341797
test,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.061362944543361664,16.557003021240234,74.49091339111328,60.19279861450195
test,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.0578894279897213,15.550241470336914,69.45805358886719,51.685340881347656
test,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.05716167762875557,15.131569862365723,58.32237243652344,45.495079040527344
train,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.05754498392343521,14.695980072021484,65.0906753540039,51.66471481323242
train,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.05668409913778305,14.605332374572754,74.1555404663086,50.682212829589844
train,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.05285360664129257,13.66163158416748,69.8968734741211,47.857688903808594
train,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.05372824892401695,13.971695899963379,70.75700378417969,50.11531448364258
train,angle,0.006,128.0,IWALQQ_AE_4th,MAE,0.054914798587560654,14.229948043823242,73.34080505371094,51.44171905517578
test,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.06091918796300888,13.45200252532959,94.1144027709961,47.17793273925781
test,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.047949738800525665,13.33409595489502,59.42536926269531,51.53961944580078
test,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.060813676565885544,16.55756950378418,74.57878875732422,59.680843353271484
test,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.057977717369794846,15.606240272521973,69.19884490966797,51.52950668334961
test,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.05668239668011665,14.88642692565918,58.318145751953125,45.1473503112793
train,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.057614345103502274,14.69555950164795,65.02919006347656,51.897274017333984
