sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.061175357550382614,13.52366828918457,89.63082885742188,49.260650634765625
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.05085417255759239,13.666023254394531,74.88330078125,52.72001266479492
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.058872148394584656,16.54246711730957,67.97417449951172,59.32759475708008
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.06280800700187683,16.275259017944336,75.27298736572266,59.3078727722168
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.0622379407286644,15.431353569030762,64.74317169189453,52.20067596435547
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.05847301706671715,14.964661598205566,66.58638000488281,52.048362731933594
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.05854327604174614,15.327188491821289,76.45487213134766,51.58517074584961
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.055149078369140625,13.956009864807129,73.68708038330078,50.22574234008789
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.05463079735636711,14.015005111694336,72.20284271240234,51.86225128173828
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,10.0,0.001,0.05559612065553665,14.266504287719727,72.74075317382812,51.92808151245117
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.06908739358186722,16.284404754638672,86.66321563720703,59.18691635131836
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.048941582441329956,13.708606719970703,56.607208251953125,54.92420196533203
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.05892918258905411,17.021604537963867,66.98772430419922,57.701847076416016
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.05994145944714546,15.910432815551758,67.88639068603516,58.63246536254883
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.06350437551736832,16.0378360748291,62.235084533691406,55.29379653930664
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.058840278536081314,14.914531707763672,68.54207611083984,52.1965217590332
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.06426920741796494,16.11032485961914,83.10040283203125,57.317867279052734
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.054826769977808,13.91508674621582,69.47079467773438,51.11164855957031
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.05410785228013992,14.202065467834473,68.87258911132812,50.61674499511719
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,20.0,0.001,0.05882588028907776,14.614219665527344,77.47970581054688,56.50727844238281
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.05863780528306961,12.079822540283203,89.11669158935547,48.197845458984375
