sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.06588226556777954,16.94931411743164,73.13856506347656,54.23566818237305
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.06216517090797424,16.635034561157227,102.58106994628906,56.64250564575195
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.07031714916229248,21.001134872436523,73.8525161743164,67.73047637939453
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.0625164657831192,16.120759963989258,63.500701904296875,65.57255554199219
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.06973057985305786,19.12760353088379,70.3496322631836,57.720821380615234
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.03678694739937782,9.819204330444336,41.279579162597656,33.25070571899414
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.03601595386862755,9.545125961303711,41.95962142944336,34.72970199584961
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.03546712175011635,9.288851737976074,44.83864974975586,34.82070541381836
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.03470946103334427,8.965819358825684,46.00067138671875,34.22947311401367
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.0,0.03402789682149887,9.170214653015137,40.92820739746094,32.95412063598633
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.07031309604644775,16.32144546508789,84.37779235839844,63.636531829833984
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.04690849781036377,13.187129020690918,69.87274169921875,45.91971969604492
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06067190691828728,16.998640060424805,75.74115753173828,59.61935043334961
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06014712154865265,15.847229957580566,65.1067123413086,56.91501998901367
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.058252252638339996,17.0571346282959,52.51444625854492,49.82182312011719
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06255589425563812,15.386676788330078,74.3423080444336,55.72414779663086
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06725899130105972,15.953591346740723,92.71295166015625,59.987815856933594
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06525914371013641,15.900410652160645,88.79331970214844,57.2130241394043
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.05505489930510521,14.275551795959473,72.96209716796875,51.33243179321289
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.05538913607597351,14.298066139221191,71.42869567871094,53.15681457519531
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.06208566948771477,15.377230644226074,72.87144470214844,50.142723083496094
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.06456146389245987,17.759273529052734,92.53202819824219,62.04823303222656
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.07191155105829239,22.93924331665039,66.69873809814453,66.0371322631836
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.0630691647529602,16.970426559448242,61.25977325439453,64.67022705078125
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.06810057163238525,18.615530014038086,68.795166015625,55.33669662475586
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.03715171664953232,9.938836097717285,41.00043487548828,34.11369705200195
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.03804448992013931,9.937610626220703,44.31553649902344,36.95404052734375
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.03547454625368118,9.562045097351074,44.11043167114258,34.57352066040039
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.03391682356595993,8.896071434020996,44.218955993652344,33.742984771728516
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.0,0.03577839210629463,9.57460880279541,44.48237991333008,34.31159210205078
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05557242035865784,11.362313270568848,87.5750732421875,44.89710235595703
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05075917765498161,13.482074737548828,61.802513122558594,57.054386138916016
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06460759788751602,17.01873779296875,86.16095733642578,66.82234954833984
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05972276255488396,16.312114715576172,65.3982925415039,58.187747955322266
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06293880194425583,21.119190216064453,52.83906555175781,52.379512786865234
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05956075340509415,15.028389930725098,70.57569885253906,52.604217529296875
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06345059722661972,15.253274917602539,85.62711334228516,57.15824890136719
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06179004907608032,15.307016372680664,82.51293182373047,56.980899810791016
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.054091136902570724,14.05807113647461,73.84135437011719,50.51314163208008
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.061376430094242096,15.107312202453613,84.8447036743164,56.761375427246094
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.06223859637975693,15.025786399841309,68.95012664794922,54.32380676269531
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.061090998351573944,16.44015121459961,96.83138275146484,57.040733337402344
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.06611756235361099,19.893896102905273,63.913490295410156,62.43401336669922
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.0634530633687973,17.455421447753906,64.5020980834961,61.75277328491211
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.06766869127750397,20.017953872680664,63.752567291259766,54.55949020385742
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.03929242864251137,10.620718955993652,42.0316162109375,35.62834167480469
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.037702176719903946,9.947643280029297,44.66252517700195,37.079647064208984
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.037206925451755524,9.89285659790039,46.7480583190918,36.232967376708984
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.03496743366122246,9.193671226501465,45.2957763671875,34.753501892089844
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.0,0.03525112569332123,9.398862838745117,44.84114074707031,33.63190841674805
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.06032007932662964,13.116747856140137,86.3799057006836,51.44136428833008
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.04798513278365135,13.545134544372559,59.593238830566406,52.000789642333984
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.06463170796632767,16.97381019592285,98.85188293457031,59.06623077392578
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.059802472591400146,16.015499114990234,62.1859016418457,57.140445709228516
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.0641891211271286,13.604452133178711,69.6364517211914,59.08126449584961
