sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.060139067471027374,13.307904243469238,90.08949279785156,46.89784240722656
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.052332960069179535,13.656795501708984,88.25045776367188,47.50001907348633
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06021228805184364,16.751380920410156,70.44288635253906,57.66415023803711
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.06060737743973732,16.53459358215332,65.76382446289062,59.303070068359375
test,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.0716661885380745,13.595040321350098,86.3259048461914,64.77116394042969
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.0576881468296051,14.963728904724121,64.11138916015625,51.549522399902344
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.058712128549814224,15.110818862915039,77.5831069946289,51.187461853027344
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.0612189844250679,14.73446273803711,85.61286926269531,54.91881561279297
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.05651138722896576,14.249236106872559,77.69918060302734,51.982765197753906
train,angle,0.001,128.0,IWALQQ_AE_4th,10.0,0.001,0.05870228260755539,14.761947631835938,78.63871765136719,54.961952209472656
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06403243541717529,11.688760757446289,115.09373474121094,45.1259765625
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05062589421868324,13.632761001586914,80.38834381103516,50.47744369506836
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06487654894590378,17.016132354736328,91.75611114501953,63.81752014160156
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05852493271231651,15.899779319763184,59.68367004394531,58.27289581298828
test,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.059190742671489716,18.293554306030273,52.257991790771484,48.9221305847168
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.058030061423778534,14.890817642211914,66.30467224121094,52.63993453979492
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.0582733154296875,14.833651542663574,76.81819152832031,51.9007682800293
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.06039956584572792,14.862773895263672,80.73888397216797,55.55075454711914
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.0576765276491642,14.617323875427246,76.11717224121094,54.308837890625
train,angle,0.001,128.0,IWALQQ_AE_4th,20.0,0.001,0.05581899359822273,14.139762878417969,77.72447204589844,51.179412841796875
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.059597447514534,12.184965133666992,84.93999481201172,52.121150970458984
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.04761194437742233,13.513938903808594,59.732154846191406,52.627864837646484
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.060238610953092575,16.383602142333984,69.90111541748047,59.511024475097656
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.06820109486579895,17.860788345336914,73.86381530761719,61.90873718261719
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.05937983840703964,19.519155502319336,47.4837760925293,51.01469039916992
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.0605730302631855,15.45870304107666,68.94903564453125,53.69544219970703
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.06010747700929642,15.280088424682617,76.77710723876953,54.72888946533203
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.054773908108472824,14.170663833618164,69.5036392211914,49.96236038208008
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.055153537541627884,14.391912460327148,69.64122009277344,52.50743865966797
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.05551835894584656,14.467394828796387,72.79367065429688,51.502445220947266
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.06096252426505089,12.8902006149292,91.25733184814453,49.484474182128906
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05152281001210213,13.7335844039917,51.67561340332031,60.853065490722656
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.058429326862096786,16.208131790161133,68.3179702758789,57.08735656738281
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.07171859592199326,18.594558715820312,75.67428588867188,63.75360870361328
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.058967720717191696,16.85569953918457,52.68122100830078,51.0134391784668
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.06112222373485565,14.999967575073242,70.65557098388672,55.86964416503906
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.06592868268489838,16.336610794067383,84.48895263671875,60.10018539428711
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05889446288347244,14.189560890197754,78.23374938964844,54.39326095581055
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05880618840456009,14.76860237121582,80.10250091552734,54.5216064453125
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05767817795276642,14.419503211975098,78.92432403564453,53.45978546142578
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.061394453048706055,13.103133201599121,96.80221557617188,45.524967193603516
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.049471255391836166,12.632661819458008,59.048580169677734,57.810977935791016
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05888451635837555,16.658212661743164,71.1923599243164,58.3160400390625
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.06297321617603302,16.940092086791992,62.44639587402344,60.90876007080078
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05669485405087471,16.881607055664062,57.98819351196289,47.42430877685547
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.0610974058508873,15.412185668945312,69.9738998413086,54.77070617675781
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.06372647732496262,15.849286079406738,88.98113250732422,55.04588317871094
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05816271901130676,14.66952133178711,79.00602722167969,52.3659553527832
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05494977533817291,14.242098808288574,71.85150146484375,51.00838851928711
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05829458683729172,14.805220603942871,80.16009521484375,52.92924118041992
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.060206275433301926,13.078289031982422,86.33699035644531,51.58812713623047
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05991015210747719,15.2854585647583,75.22310638427734,65.9906005859375
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.06391378492116928,16.906713485717773,73.63362121582031,61.13191604614258
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.06296584010124207,15.747105598449707,80.7750015258789,58.09130096435547
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05716950073838234,17.411043167114258,52.45153045654297,48.56666946411133
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05885572358965874,14.829790115356445,68.24809265136719,52.74188995361328
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.0626390352845192,15.500555992126465,86.16641998291016,54.07511520385742
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.0560966357588768,14.238774299621582,73.72930145263672,50.96561813354492
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05817386135458946,14.541945457458496,86.21452331542969,51.727561950683594
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05645217001438141,14.506823539733887,74.80204010009766,52.22557830810547
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.05907760187983513,11.913585662841797,99.25084686279297,42.46504592895508
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.04720263555645943,13.514363288879395,56.21858215332031,52.35039520263672
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.06749856472015381,17.19381332397461,99.48714447021484,65.56609344482422
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.061056531965732574,16.585237503051758,68.63455963134766,59.293540954589844
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.05626794695854187,17.178375244140625,48.72404861450195,49.384254455566406
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.06413457542657852,15.485695838928223,78.41133880615234,56.58627700805664
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.05790233984589577,14.897804260253906,75.08263397216797,51.14485168457031
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.057322122156620026,14.626643180847168,72.24357604980469,53.905364990234375
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.05813787877559662,14.468935012817383,82.48442077636719,53.1617431640625
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.001,0.05995061621069908,15.027861595153809,80.60572052001953,55.5200309753418
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.05812317878007889,12.366209983825684,87.82633209228516,46.180137634277344
